postcode,zone,zone_name,color,delivery_days,depot
1404,8,Sone 8,#84CC16,,
1405,8,Sone 8,#84CC16,,
1406,8,Sone 8,#84CC16,,
1407,8,Sone 8,#84CC16,,
1408,8,Sone 8,#84CC16,,
1409,8,Sone 8,#84CC16,,
1410,8,Sone 8,#84CC16,,
1412,8,Sone 8,#84CC16,,
1413,8,Sone 8,#84CC16,,
1414,8,Sone 8,#84CC16,,
1415,8,Sone 8,#84CC16,,
1420,8,Sone 8,#84CC16,,
1423,8,Sone 8,#84CC16,,
1424,8,Sone 8,#84CC16,,
1425,8,Sone 8,#84CC16,,
1430,8,Sone 8,#84CC16,,
1433,8,Sone 8,#84CC16,,
1434,8,Sone 8,#84CC16,,
1435,8,Sone 8,#84CC16,,
1440,25,E6-nord / Mosseaksen,#9A3412,,
1443,25,E6-nord / Mosseaksen,#9A3412,,
1444,25,E6-nord / Mosseaksen,#9A3412,,
1445,25,E6-nord / Mosseaksen,#9A3412,,
1446,25,E6-nord / Mosseaksen,#9A3412,,
1447,25,E6-nord / Mosseaksen,#9A3412,,
1448,25,E6-nord / Mosseaksen,#9A3412,,
1449,25,E6-nord / Mosseaksen,#9A3412,,
1452,23,Nesoddtangen,#F47FB7,,
1453,23,Nesoddtangen,#F47FB7,,
1454,23,Nesoddtangen,#F47FB7,,
1455,25,E6-nord / Mosseaksen,#9A3412,,
1458,23,Nesoddtangen,#F47FB7,,
1459,23,Nesoddtangen,#F47FB7,,
1461,1,Sone 1,#1D4ED8,,
1462,1,Sone 1,#1D4ED8,,
1463,1,Sone 1,#1D4ED8,,
1464,1,Sone 1,#1D4ED8,,
1465,11,Sone 11,#F97316,,
1466,11,Sone 11,#F97316,,
1467,11,Sone 11,#F97316,,
1470,1,Sone 1,#1D4ED8,,
1472,1,Sone 1,#1D4ED8,,
1473,1,Sone 1,#1D4ED8,,
1474,1,Sone 1,#1D4ED8,,
1475,1,Sone 1,#1D4ED8,,
1476,1,Sone 1,#1D4ED8,,
1479,1,Sone 1,#1D4ED8,,
1480,14,Sone 14,#D946EF,,
1481,14,Sone 14,#D946EF,,
1482,14,Sone 14,#D946EF,,
1484,14,Sone 14,#D946EF,,
1487,14,Sone 14,#D946EF,,
1488,14,Sone 14,#D946EF,,
1511,25,E6-nord / Mosseaksen,#9A3412,,
1512,25,E6-nord / Mosseaksen,#9A3412,,
1513,25,E6-nord / Mosseaksen,#9A3412,,
1514,25,E6-nord / Mosseaksen,#9A3412,,
1515,25,E6-nord / Mosseaksen,#9A3412,,
1516,25,E6-nord / Mosseaksen,#9A3412,,
1517,25,E6-nord / Mosseaksen,#9A3412,,
1518,25,E6-nord / Mosseaksen,#9A3412,,
1519,25,E6-nord / Mosseaksen,#9A3412,,
1520,25,E6-nord / Mosseaksen,#9A3412,,
1521,25,E6-nord / Mosseaksen,#9A3412,,
1522,25,E6-nord / Mosseaksen,#9A3412,,
1523,25,E6-nord / Mosseaksen,#9A3412,,
1524,25,E6-nord / Mosseaksen,#9A3412,,
1525,25,E6-nord / Mosseaksen,#9A3412,,
1526,25,E6-nord / Mosseaksen,#9A3412,,
1527,25,E6-nord / Mosseaksen,#9A3412,,
1528,25,E6-nord / Mosseaksen,#9A3412,,
1529,25,E6-nord / Mosseaksen,#9A3412,,
1530,25,E6-nord / Mosseaksen,#9A3412,,
1531,25,E6-nord / Mosseaksen,#9A3412,,
1532,25,E6-nord / Mosseaksen,#9A3412,,
1533,25,E6-nord / Mosseaksen,#9A3412,,
1534,25,E6-nord / Mosseaksen,#9A3412,,
1535,25,E6-nord / Mosseaksen,#9A3412,,
1536,25,E6-nord / Mosseaksen,#9A3412,,
1537,25,E6-nord / Mosseaksen,#9A3412,,
1538,25,E6-nord / Mosseaksen,#9A3412,,
1539,25,E6-nord / Mosseaksen,#9A3412,,
1540,25,E6-nord / Mosseaksen,#9A3412,,
1542,25,E6-nord / Mosseaksen,#9A3412,,
1543,25,E6-nord / Mosseaksen,#9A3412,,
1544,25,E6-nord / Mosseaksen,#9A3412,,
1545,25,E6-nord / Mosseaksen,#9A3412,,
1550,25,E6-nord / Mosseaksen,#9A3412,,
1553,25,E6-nord / Mosseaksen,#9A3412,,
1554,25,E6-nord / Mosseaksen,#9A3412,,
1555,25,E6-nord / Mosseaksen,#9A3412,,
1560,25,E6-nord / Mosseaksen,#9A3412,,
1570,25,E6-nord / Mosseaksen,#9A3412,,
1580,25,E6-nord / Mosseaksen,#9A3412,,
1591,25,E6-nord / Mosseaksen,#9A3412,,
1592,25,E6-nord / Mosseaksen,#9A3412,,
1593,25,E6-nord / Mosseaksen,#9A3412,,
1596,25,E6-nord / Mosseaksen,#9A3412,,
1597,25,E6-nord / Mosseaksen,#9A3412,,
1598,25,E6-nord / Mosseaksen,#9A3412,,
1599,25,E6-nord / Mosseaksen,#9A3412,,
1604,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1605,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1606,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1607,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1608,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1610,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1613,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1614,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1615,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1617,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1618,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1619,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1621,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1622,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1623,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1624,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1626,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1628,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1630,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1632,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1633,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1634,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1636,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1637,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1639,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1640,25,E6-nord / Mosseaksen,#9A3412,,
1642,25,E6-nord / Mosseaksen,#9A3412,,
1643,25,E6-nord / Mosseaksen,#9A3412,,
1651,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1653,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1654,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1655,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1657,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1658,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1659,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1661,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1663,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1664,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1665,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1666,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1667,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1671,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1672,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1673,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1675,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1676,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1678,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1679,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1706,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1707,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1708,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1709,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1710,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1711,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1712,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1714,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1715,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1718,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1719,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1721,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1722,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1723,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1724,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1725,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1726,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1727,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1730,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1734,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1735,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1738,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1739,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1743,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1746,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1747,9,Nedre Glomma (Fredrikstad/Sarpsborg),#EAB308,,
1763,27,Halden,#7F1D1D,,
1764,27,Halden,#7F1D1D,,
1767,27,Halden,#7F1D1D,,
1768,27,Halden,#7F1D1D,,
1769,27,Halden,#7F1D1D,,
1771,27,Halden,#7F1D1D,,
1772,27,Halden,#7F1D1D,,
1776,27,Halden,#7F1D1D,,
1777,27,Halden,#7F1D1D,,
1778,27,Halden,#7F1D1D,,
1779,27,Halden,#7F1D1D,,
1781,27,Halden,#7F1D1D,,
1782,27,Halden,#7F1D1D,,
1783,27,Halden,#7F1D1D,,
1784,27,Halden,#7F1D1D,,
1785,27,Halden,#7F1D1D,,
1786,27,Halden,#7F1D1D,,
1788,27,Halden,#7F1D1D,,
1789,27,Halden,#7F1D1D,,
1791,27,Halden,#7F1D1D,,
1792,27,Halden,#7F1D1D,,
1793,27,Halden,#7F1D1D,,
1794,27,Halden,#7F1D1D,,
1798,26,Indre Østfold,#065F46,,
1807,26,Indre Østfold,#065F46,,
1808,26,Indre Østfold,#065F46,,
1809,26,Indre Østfold,#065F46,,
1811,26,Indre Østfold,#065F46,,
1812,26,Indre Østfold,#065F46,,
1813,26,Indre Østfold,#065F46,,
1814,26,Indre Østfold,#065F46,,
1815,26,Indre Østfold,#065F46,,
1816,26,Indre Østfold,#065F46,,
1820,26,Indre Østfold,#065F46,,
1821,26,Indre Østfold,#065F46,,
1823,26,Indre Østfold,#065F46,,
1825,26,Indre Østfold,#065F46,,
1827,26,Indre Østfold,#065F46,,
1830,26,Indre Østfold,#065F46,,
1831,26,Indre Østfold,#065F46,,
1832,26,Indre Østfold,#065F46,,
1850,26,Indre Østfold,#065F46,,
1852,26,Indre Østfold,#065F46,,
1859,26,Indre Østfold,#065F46,,
1860,26,Indre Østfold,#065F46,,
1866,26,Indre Østfold,#065F46,,
1870,26,Indre Østfold,#065F46,,
1875,26,Indre Østfold,#065F46,,
1878,26,Indre Østfold,#065F46,,
1880,26,Indre Østfold,#065F46,,
1890,26,Indre Østfold,#065F46,,
1892,26,Indre Østfold,#065F46,,
1894,26,Indre Østfold,#065F46,,
1900,11,Sone 11,#F97316,,
1903,11,Sone 11,#F97316,,
1910,11,Sone 11,#F97316,,
1911,17,Sone 17,#6366F1,,
1912,17,Sone 17,#6366F1,,
1914,17,Sone 17,#6366F1,,
1920,11,Sone 11,#F97316,,
1923,11,Sone 11,#F97316,,
1925,11,Sone 11,#F97316,,
1927,15,Sone 15,#A855F7,,
1929,15,Sone 15,#A855F7,,
1930,16,Sone 16,#8B5CF6,,
1940,16,Sone 16,#8B5CF6,,
1950,16,Sone 16,#8B5CF6,,
1954,16,Sone 16,#8B5CF6,,
1960,16,Sone 16,#8B5CF6,,
1963,16,Sone 16,#8B5CF6,,
1970,16,Sone 16,#8B5CF6,,
2000,11,Sone 11,#F97316,,
2003,11,Sone 11,#F97316,,
2004,11,Sone 11,#F97316,,
2005,12,Sone 12,#EF4444,,
2006,12,Sone 12,#EF4444,,
2007,11,Sone 11,#F97316,,
2008,12,Sone 12,#EF4444,,
2009,12,Sone 12,#EF4444,,
2010,11,Sone 11,#F97316,,
2013,11,Sone 11,#F97316,,
2014,12,Sone 12,#EF4444,,
2015,11,Sone 11,#F97316,,
2016,11,Sone 11,#F97316,,
2019,11,Sone 11,#F97316,,
2020,11,Sone 11,#F97316,,
2022,13,Sone 13,#EC4899,,
2030,13,Sone 13,#EC4899,,
2032,13,Sone 13,#EC4899,,
2033,13,Sone 13,#EC4899,,
2034,13,Sone 13,#EC4899,,
2040,11,Sone 11,#F97316,,
2050,11,Sone 11,#F97316,,
2052,11,Sone 11,#F97316,,
2053,11,Sone 11,#F97316,,
2054,11,Sone 11,#F97316,,
2055,11,Sone 11,#F97316,,
2056,11,Sone 11,#F97316,,
2058,11,Sone 11,#F97316,,
2060,11,Sone 11,#F97316,,
2063,11,Sone 11,#F97316,,
2066,11,Sone 11,#F97316,,
2067,11,Sone 11,#F97316,,
2068,11,Sone 11,#F97316,,
2069,11,Sone 11,#F97316,,
2070,18,Sone 18,#64748B,,
2072,18,Sone 18,#64748B,,
2073,18,Sone 18,#64748B,,
2074,18,Sone 18,#64748B,,
2080,18,Sone 18,#64748B,,
2092,18,Sone 18,#64748B,,
2093,18,Sone 18,#64748B,,
2150,15,Sone 15,#A855F7,,
2160,15,Sone 15,#A855F7,,
2162,15,Sone 15,#A855F7,,
2164,15,Sone 15,#A855F7,,
2165,15,Sone 15,#A855F7,,
2166,15,Sone 15,#A855F7,,
2170,15,Sone 15,#A855F7,,
2312,19,Sone 19,#334155,,
2315,19,Sone 19,#334155,,
2316,19,Sone 19,#334155,,
2317,19,Sone 19,#334155,,
2318,19,Sone 19,#334155,,
2319,19,Sone 19,#334155,,
2320,19,Sone 19,#334155,,
2321,19,Sone 19,#334155,,
2322,19,Sone 19,#334155,,
2323,19,Sone 19,#334155,,
2330,19,Sone 19,#334155,,
2332,19,Sone 19,#334155,,
2334,19,Sone 19,#334155,,
2335,19,Sone 19,#334155,,
2337,19,Sone 19,#334155,,
2338,19,Sone 19,#334155,,
2344,19,Sone 19,#334155,,
2355,19,Sone 19,#334155,,
2360,19,Sone 19,#334155,,
2380,19,Sone 19,#334155,,
2382,19,Sone 19,#334155,,
2383,19,Sone 19,#334155,,
2384,19,Sone 19,#334155,,
2385,19,Sone 19,#334155,,
2386,19,Sone 19,#334155,,
2387,19,Sone 19,#334155,,
2388,19,Sone 19,#334155,,
2390,19,Sone 19,#334155,,
2720,19,Sone 19,#334155,,
2730,19,Sone 19,#334155,,
2740,19,Sone 19,#334155,,
2742,19,Sone 19,#334155,,
2743,19,Sone 19,#334155,,
2750,19,Sone 19,#334155,,
2760,19,Sone 19,#334155,,
2770,19,Sone 19,#334155,,
2815,19,Sone 19,#334155,,
2816,19,Sone 19,#334155,,
2817,19,Sone 19,#334155,,
2818,19,Sone 19,#334155,,
2819,19,Sone 19,#334155,,
2821,19,Sone 19,#334155,,
2827,19,Sone 19,#334155,,
2830,19,Sone 19,#334155,,
2833,19,Sone 19,#334155,,
2834,19,Sone 19,#334155,,
2835,19,Sone 19,#334155,,
2836,19,Sone 19,#334155,,
2840,19,Sone 19,#334155,,
2843,19,Sone 19,#334155,,
2846,19,Sone 19,#334155,,
3004,4,Sone 4,#06B6D4,,
3011,4,Sone 4,#06B6D4,,
3012,4,Sone 4,#06B6D4,,
3013,4,Sone 4,#06B6D4,,
3014,4,Sone 4,#06B6D4,,
3015,4,Sone 4,#06B6D4,,
3016,4,Sone 4,#06B6D4,,
3017,4,Sone 4,#06B6D4,,
3018,4,Sone 4,#06B6D4,,
3019,4,Sone 4,#06B6D4,,
